Project ID,Organization,Department,Division,Project Number,Project Category,Project Type,Project Sub-Type,Phase,Priority,Status,Project Name,Description,Justification,Project Location,Notes,Council District,Estimated Start,Estimated End,Plan Cost,Estimated Cost,PO Cost,Actual Cost,Metro Cost,State Cost,Federal Cost,Other Cost,Total Cost,Longitude,Latitude,Layer Name,Mapped Location
7120,Metro Nashville,Metro Public Works,Engineering,21-060710410857,Bikeway,Protected Bike Lane,New,90% Plan Design,,Scheduled,3rd Ave N From Broadway To James Robertson Pkwy,Construction of a new protected bike lane.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation.,3rd Ave N From Broadway To James Robertson Pkwy,"A new, protected bikeway is being installed.",19,"Jul, 2024","Dec, 2024",0,227000,0,0,0,0,0,0,227000,-86.777767,36.164337,Project Line,POINT (-86.777767 36.164337)
8332,Metro Nashville,Metro Public Works,Engineering,2023-R-4,Capital,Intersection Improvements,Rehabilitation,Planning/Scoping,,Planned,Old Hickory Blvd and Pettus Road Mini Roundabout,Mini Roundabout at the intersection of OHB and Pettus Rd. Will be constructed in the existing ROW and be mountable to allow for truck traffic.,Through NDOT Development Services based on community input on roundabout vs signal.,Old Hickory Blvd and Pettus Rd,Project concept currently undergoing community review before survey and design work begins.,31,10/07/2024,04/04/2025,0,0,0,0,0,0,0,0,0,-86.680802,36.026929,Project Poly,POINT (-86.680802 36.026929)
5070,Metro Nashville,Metro Public Works,Engineering,2016-R-041,Sidewalk,New Sidewalk,New,Construction/Closeout/Warranty,,Complete,Brick Church Pike,6' Sidewalk with 6'-8' Furnishing Zone,Project provides neighborhood connectivity to Transit and Republic High School,Brick Church Pike From Masonwood Dr To Village Trl,"Installation of new 6' sidewalk and 6'-8' furnishing zone along with curb, gutter, and storm drainage that provides neighborhood connectivity to Transit and Republic High School",03,07/01/2021,05/06/2022,785000,1730000,2057712.98,358547.67,2057712.98,0,0,0,358547.67,-86.778107,36.24752,Project Line,POINT (-86.778107 36.24752)
7793,Metro Nashville,Metro Public Works,Paving,RPMS-49224,Paving,Paving,New,Plan Design,,Planned,APACHE TRL - HAYWOOD LN - BART DR,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",APACHE TRL - HAYWOOD LN - BART DR,"Based on the current condition index, this roadway segment qualifies for paving.",30,01/01/2023,01/31/2023,285950,0,0,0,0,0,0,0,285950,-86.685861,36.065041,Project Line,POINT (-86.685861 36.065041)
7796,Metro Nashville,Metro Public Works,Paving,RPMS-49225,Paving,Paving,New,Plan Design,,Planned,FRANKLIN PIKE CIR - REGENT DR - OLD HICKORY BLVD,"Based on the current condition index, this roadway segment qualifies for paving.","Based on the current condition index, this roadway segment qualifies for paving.",FRANKLIN PIKE CIR - REGENT DR - OLD HICKORY BLVD,"Based on the current condition index, this roadway segment qualifies for paving.",26,01/01/2023,01/31/2023,227050,0,0,0,0,0,0,0,227050,-86.775211,36.047416,Project Line,POINT (-86.775211 36.047416)
7441,Metro Nashville,Metro Public Works,Engineering,1415557,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Complete,,Complete,BELLEVUE RD From BELLEVUE RD To OLD HARDING PIKE,Sidewalk Repair of broken sidewalk along apartment complex.,Sidewalk Repair of broken sidewalk along apartment complex.,BELLEVUE RD From BELLEVUE RD To OLD HARDING PIKE,Sidewalk Repair of broken sidewalk along apartment complex.,22,01/31/2022,02/02/2022,37219.91,0,0,0,0,0,0,0,13199.14,-86.940139,36.065177,Project Line,POINT (-86.940139 36.065177)
6642,Metro Nashville,Metro Public Works,Paving,RPMS-19003,Paving,Special Ops,New,Plan Design,,Planned,COURTNEY CT - COURTNEY AVE - CUL-DE-SAC,COURTNEY CT - COURTNEY AVE - CUL-DE-SAC,"Based on the current condiion index, this roadway segment qualifies for paving",COURTNEY CT - COURTNEY AVE - CUL-DE-SAC,PAVING PROJECT: 'COURTNEY CT - COURTNEY AVE - CUL-DE-SAC',02,01/01/2021,01/31/2021,13300,0,0,0,18050,0,0,0,13300,-86.834684,36.200249,Project Line,POINT (-86.834684 36.200249)
8155,Metro Nashville,Metro Public Works,Engineering,22-122207415050,Bikeway,Shared Bikeway,New,Planning/Scoping,,Planned,6th Ave S From Korean Veterans Blvd To Demonbreun St,Construction of a new bike lane or bike lane upgrade.,To provide safe connections for people biking to neighborhoods and destinations for transportation and recreation,6th Ave S From Korean Veterans Blvd To Demonbreun St,This bikeway is estimated to begin in 2025 or later,19,"Jul, 2025","Dec, 2025",0,0,0,0,0,0,0,0,0,-86.777923,36.156882,Project Line,POINT (-86.777923 36.156882)
7347,Metro Nashville,Metro Public Works,Engineering,21-101211080026,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Complete,,Complete,LOWER BROADWAY PHASE 2,Expansion of existing sidewalks and addition of security bollards. Sidewalk capacity and ADA accessibility by widening Broadway sidewalks.,Safety benefit of improving existing sidewalks.,BROADWAY From 1ST AVE S To 2ND AVE S,Expansion of existing sidewalks and addition of security bollards.,19,01/10/2022,03/07/2022,750000,0,0,0,0,0,0,0,680796.79,-86.774708,36.161951,Project Line,POINT (-86.774708 36.161951)
7346,Metro Nashville,Metro Public Works,Engineering,21-101211001623,Sidewalk,Sidewalk Repairs,Maintenance/Repairs,Complete,,Complete,LOWER BROADWAY PHASE 1,"Expansion of existing sidewalks and addition of security bollards. Sidewalk capacity and ADA accessibility by widening Broadway sidewalks. Block 1 (1st Ave – 2nd Ave), north side (Hard Rock Café).",Safety benefit of improving existing sidewalks.,BROADWAY From 1ST AVE N To 2ND AVE N,Expansion of existing sidewalks and addition of security bollards.,19,10/18/2021,12/10/2021,871753.95,0,0,0,0,0,0,0,850143.79,-86.774843,36.162175,Project Line,POINT (-86.774843 36.162175)
